"","DNA","rpkm.f67","rpkm.m68","rpkm.f69","rpkm.m70","Assembly","GenBank.Accession.version","NCBI.name","chr"
"155","gene6973",5.02065493395412,3.94771336419514,4.5790574300522,3.68663224981637,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"156","gene6982",134.634231057415,139.136789300371,119.674368848521,147.777292480029,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"157","gene6994",195.246087704755,198.297861502694,141.008025765889,192.763501183784,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"158","gene7024",7.9600019929457,7.43245062819225,11.4482578367918,9.91558173888702,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"159","gene6953",0,0,2.82083648859566,2.10885615153086,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"160","gene6952",0.372602948032513,1.31839042032629,0.941068316374482,2.11062681160772,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"161","gene6923",121.028212120015,98.7213435047048,104.272688144282,105.006822022701,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"162","gene6931",90.8481490468308,77.0027837171008,93.7251144751159,82.2800252987295,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"163","gene7029",259.283679655352,248.343384147929,253.718867079472,253.801663529835,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"164","gene6983",406.496234896491,369.947455790514,438.733207775113,448.173708273041,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"165","gene6989",1628.18212939636,1741.50800770771,1530.96038635669,1848.02197116828,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"166","gene7008",1.45737310708283,0.859443344613364,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"167","gene7032",116.059247722974,124.673379069847,97.3032980837338,119.572792201179,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"168","gene7369",18.3175021675784,18.5663043068846,27.4691195501298,16.2125542252486,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"169","gene7381",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"170","gene7259",0.594467663907197,0,2.81516836437209,1.40307910952489,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"171","gene6926",239.852426711321,213.836036725797,229.801628240014,175.870679458094,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"172","gene6928",167.675749201551,160.488930790858,157.978003940936,131.779521492694,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"173","gene6943",0,0,0,0.421912811786638,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"174","gene6980",0,0.513138232225038,1.64825347765001,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"175","gene6993",0,0.502304219644471,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"176","gene6930",182.427435974588,171.243590199811,203.627188678425,144.16848474253,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"177","gene7041",140.200463482177,161.854926742789,139.538888790612,155.9179643172,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"178","gene6984",205.378585040093,221.640479361064,208.047788745437,218.470256590781,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"179","gene6922",188.402631388179,171.971162792391,211.800952185705,167.042427640964,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"180","gene7044",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"181","gene6999",206.249064525883,190.014510516937,229.110397027666,181.736716690084,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"182","gene7022",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"183","gene6939",586.643576499801,567.384273917399,576.888717177504,658.804889590215,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"184","gene7011",2.90758467555592,3.42932676081598,3.21281185651681,2.40189676881975,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"185","gene7012",140.951932319838,116.288300690618,145.150749817923,158.62384456695,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"186","gene7038",101.427811621773,95.9679056364089,103.463245335547,97.5270982591367,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"187","gene7039",610.209811816063,580.117032027751,658.300583250129,598.401640726032,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"188","gene6942",55.9661413439541,63.0373463383021,57.7222912935341,64.8996347298371,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"189","gene6944",3.01884429324301,8.18926729795877,8.38703130123952,2.85006409594647,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"190","gene7053",2.88318426273994,1.98365293886669,5.15804282664703,20.4149149915386,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"191","gene7042",18.7556968245959,21.1065155775231,18.6874492774278,18.8442392260873,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"192","gene7007",230.79921499044,243.415747452427,201.158900407697,221.371572378166,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"193","gene6947",40.7968770060589,24.5497653315919,39.9539116908783,17.2928842144294,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"194","gene6936",181.312203033073,163.49922848843,188.471716881421,173.97774279846,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"195","gene7034",26.1672080981248,30.6097248048401,33.5864507577209,30.1715581892294,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"196","gene7059",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"197","gene6950",549.546573735665,517.60956121953,579.00887725249,599.755189319192,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"198","gene6951",12.8290965103126,12.7239401341478,8.83689118109337,21.47098221033,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"199","gene7061",94.9612450698102,97.2498720697055,76.631743104939,108.894463574038,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"200","gene6954",39.0342043854182,31.0760349983014,32.6569847908227,29.2511526152967,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"201","gene7063",92.3539768755083,119.838590640334,77.9640140034756,171.363615030462,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"202","gene7028",4.5481563363793,4.34251681150911,4.37603656340462,4.08940382727312,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"203","gene6956",1.85247263449003,0.48552968169716,0.779785968090451,1.5545804159708,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"204","gene7018",1406.48046217719,1414.52653538767,1309.54535720782,1359.976650278,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"205","gene7019",93.9502848919094,80.0286417063983,105.753597410749,117.825493513864,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"206","gene7068",0,0,0,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"207","gene7069",0,0.436167497391282,1.40101545600251,0,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"208","gene7033",86.6551095336776,92.4792977576921,80.0850726877111,92.8504665203751,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"209","gene6961",20.3286503138557,17.8548098347308,28.9488573754905,13.0669605334622,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"210","gene6962",204.84457028451,211.983750551042,215.645386275568,212.697265223439,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
